abash,abashed,abashes,abashing,
surpass,surpassed,surpasses,surpassing,
surround,surrounded,surrounds,surrounding,
survey,surveyed,surveys,surveying,
survive,survived,survives,surviving,
swallow,swallowed,swallows,swallowing,
sway,swayed,sways,swaying,
swear,swore,sworn,swears,swearing,
sweat,sweats,sweating,
sweep,swept,sweeps,sweeping,
swell,swelled,swollen,swells,swelling,
swim,swam,swum,swims,swimming,
swing,swung,swings,swinging,
swot,swotted,swots,swotting,
take,took,taken,takes,taking,
talk,talked,talks,talking,
tap,tapped,taps,tapping,
taste,tasted,tastes,tasting,
tax,taxed,taxes,taxing,
teach,taught,teaches,teaching,
tear,tore,torn,tears,tearing,
tee,teed,tees,teeing,
tell,told,tells,telling,
tempt,tempted,tempts,tempting,
tend,tended,tends,tending,
terminate,terminated,terminates,terminating,
terrify,terrified,terrifies,terrifying,
test,tested,tests,testing,
thank,thanked,thanks,thanking,
think,thought,thinks,thinking,
thrive,throve,thriven,thrives,thriving,
throw,threw,thrown,throws,throwing,
thrust,thrusts,thrusting,
thump,thumped,thumps,thumping,
tie,tied,ties,tying,
tire,tired,tires,tiring,
toss,tossed,tosses,tossing,
touch,touched,touches,touching,
train,trained,trains,training,
trample,trampled,tramples,trampling,
transfer,transferred,transfers,transferring,
transform,transformed,transforms,transforming,
translate,translated,translates,translating,
trap,trapped,traps,trapping,
travel,travelled,travels,travelling,
tread,trod,trodden,treads,treading,
treasure,treasured,treasures,treasuring,
treat,treated,treats,treating,
tree,treed,trees,treeing,
tremble,trembled,trembles,trembling,
triumph,triumphed,triumphs,triumphing,
trust,trusted,trusts,trusting,
try,tried,tries,trying,
turn,turned,turns,turning,
type,typed,types,typing,
typeset,typesets,typesetting,
understand,understood,understands,understanding,
undo,undid,undone,undoes,undoing,
uproot,uprooted,uproots,uprooting,
upset,upsets,upsetting,
urge,urged,urges,urging,
use,used,uses,using,
utter,uttered,utters,uttering,
value,valued,values,valuing,
vanish,vanished,vanishes,vanishing,
vary,varied,varies,varying,
verify,verified,verifies,verifying,
vex,vexed,vexes,vexing,
vie,vied,vies,vying,
view,viewed,views,viewing,
violate,violated,violates,violating,
vomit,vomited,vomits,vomiting,
wake,woke,woken,wakes,waking,
walk,walked,walks,walking,
wander,wandered,wanders,wandering,
want,wanted,wants,wanting,
warn,warned,warns,warning,
waste,wasted,wastes,wasting,
watch,watched,watches,watching,
water,watered,waters,watering,
wave,waved,waves,waving,
wax,waxed,waxes,waxing,
waylay,waylaid,waylays,waylaying,
wear,wore,worn,wears,wearing,
weave,wove,woven,weaves,weaving,
wed,weds,wedding,
weep,wept,weeps,weeping,
weigh,weighed,weighs,weighing,
welcome,welcomed,welcomes,welcoming,
wend,went,wends,wending,
wet,wets,wetting,
whip,whipped,whips,whipping,
whisper,whispered,whispers,whispering,
win,won,wins,winning,
wind,wound,winds,winding,
wish,wished,wishes,wishing,
withdraw,withdrew,withdrawn,withdraws,withdrawing,
work,worked,works,working,
worry,worried,worries,worrying,
worship,worshipped,worships,worshipping,
wring,wrung,wrings,wringing,
write,wrote,written,writes,writing,
yawn,yawned,yawns,yawning,
yell,yelled,yells,yelling,
yield,yielded,yields,yielding,
zinc,zincked,zincs,zincking,
zoom,zoomed,zooms,zooming,
